Date,Away team,Home team
5/13/2021,Cincinnati Reds,Colorado Rockies
5/13/2021,Kansas City Royals,Detroit Tigers
5/13/2021,Texas Rangers,Houston Astros
5/13/2021,St. Louis Cardinals,Milwaukee Brewers
5/13/2021,San Francisco Giants,Pittsburgh Pirates
5/13/2021,Cleveland Indians,Seattle Mariners
5/13/2021,New York Yankees,Tampa Bay Rays
5/13/2021,Philadelphia Phillies,Washington Nationals
5/14/2021,Washington Nationals,Arizona D'Backs
5/14/2021,New York Yankees,Baltimore Orioles
5/14/2021,Los Angeles Angels,Boston Red Sox
5/14/2021,Kansas City Royals,Chicago White Sox
5/14/2021,Kansas City Royals,Chicago White Sox
5/14/2021,Cincinnati Reds,Colorado Rockies
5/14/2021,Chicago Cubs,Detroit Tigers
5/14/2021,Texas Rangers,Houston Astros
5/14/2021,Miami Marlins,Los Angeles Dodgers
5/14/2021,Atlanta Braves,Milwaukee Brewers
5/14/2021,Oakland Athletics,Minnesota Twins
5/14/2021,San Francisco Giants,Pittsburgh Pirates
5/14/2021,St. Louis Cardinals,San Diego Padres
5/14/2021,Cleveland Indians,Seattle Mariners
5/14/2021,New York Mets,Tampa Bay Rays
5/14/2021,Philadelphia Phillies,Toronto Blue Jays
5/15/2021,Washington Nationals,Arizona D'Backs
5/15/2021,New York Yankees,Baltimore Orioles
5/15/2021,Los Angeles Angels,Boston Red Sox
5/15/2021,Kansas City Royals,Chicago White Sox
5/15/2021,Cincinnati Reds,Colorado Rockies
5/15/2021,Chicago Cubs,Detroit Tigers
5/15/2021,Texas Rangers,Houston Astros
5/15/2021,Miami Marlins,Los Angeles Dodgers
5/15/2021,Atlanta Braves,Milwaukee Brewers
5/15/2021,Oakland Athletics,Minnesota Twins
5/15/2021,San Francisco Giants,Pittsburgh Pirates
5/15/2021,St. Louis Cardinals,San Diego Padres
5/15/2021,Cleveland Indians,Seattle Mariners
5/15/2021,New York Mets,Tampa Bay Rays
5/15/2021,Philadelphia Phillies,Toronto Blue Jays
5/16/2021,Washington Nationals,Arizona D'Backs
5/16/2021,New York Yankees,Baltimore Orioles
5/16/2021,Los Angeles Angels,Boston Red Sox
5/16/2021,Kansas City Royals,Chicago White Sox
5/16/2021,Cincinnati Reds,Colorado Rockies
5/16/2021,Chicago Cubs,Detroit Tigers
5/16/2021,Texas Rangers,Houston Astros
5/16/2021,Miami Marlins,Los Angeles Dodgers
5/16/2021,Atlanta Braves,Milwaukee Brewers
5/16/2021,Oakland Athletics,Minnesota Twins
5/16/2021,San Francisco Giants,Pittsburgh Pirates
5/16/2021,St. Louis Cardinals,San Diego Padres
5/16/2021,Cleveland Indians,Seattle Mariners
5/16/2021,New York Mets,Tampa Bay Rays
5/16/2021,Philadelphia Phillies,Toronto Blue Jays
5/17/2021,Cleveland Indians,Los Angeles Angels
5/17/2021,New York Mets,Atlanta Braves
5/17/2021,Washington Nationals,Chicago Cubs
5/17/2021,San Francisco Giants,Cincinnati Reds
5/17/2021,Arizona D'Backs,Los Angeles Dodgers
5/17/2021,Chicago White Sox,Minnesota Twins
5/17/2021,Colorado Rockies,San Diego Padres
5/17/2021,Detroit Tigers,Seattle Mariners
5/17/2021,New York Yankees,Texas Rangers
5/18/2021,Cleveland Indians,Los Angeles Angels
5/18/2021,New York Mets,Atlanta Braves
5/18/2021,Tampa Bay Rays,Baltimore Orioles
5/18/2021,Washington Nationals,Chicago Cubs
5/18/2021,San Francisco Giants,Cincinnati Reds
5/18/2021,Milwaukee Brewers,Kansas City Royals
5/18/2021,Arizona D'Backs,Los Angeles Dodgers
5/18/2021,Chicago White Sox,Minnesota Twins
5/18/2021,Houston Astros,Oakland Athletics
5/18/2021,Miami Marlins,Philadelphia Phillies
5/18/2021,Colorado Rockies,San Diego Padres
5/18/2021,Detroit Tigers,Seattle Mariners
5/18/2021,Pittsburgh Pirates,St. Louis Cardinals
5/18/2021,New York Yankees,Texas Rangers
5/18/2021,Boston Red Sox,Toronto Blue Jays
5/19/2021,Cleveland Indians,Los Angeles Angels
5/19/2021,New York Mets,Atlanta Braves
5/19/2021,Tampa Bay Rays,Baltimore Orioles
5/19/2021,Washington Nationals,Chicago Cubs
5/19/2021,San Francisco Giants,Cincinnati Reds
5/19/2021,Milwaukee Brewers,Kansas City Royals
5/19/2021,Arizona D'Backs,Los Angeles Dodgers
5/19/2021,Chicago White Sox,Minnesota Twins
5/19/2021,Houston Astros,Oakland Athletics
5/19/2021,Miami Marlins,Philadelphia Phillies
5/19/2021,Colorado Rockies,San Diego Padres
5/19/2021,Detroit Tigers,Seattle Mariners
5/19/2021,Pittsburgh Pirates,St. Louis Cardinals
5/19/2021,New York Yankees,Texas Rangers
5/19/2021,Boston Red Sox,Toronto Blue Jays
5/20/2021,Minnesota Twins,Los Angeles Angels
5/20/2021,Minnesota Twins,Los Angeles Angels
5/20/2021,Pittsburgh Pirates,Atlanta Braves
5/20/2021,Tampa Bay Rays,Baltimore Orioles
5/20/2021,Washington Nationals,Chicago Cubs
5/20/2021,San Francisco Giants,Cincinnati Reds
5/20/2021,Arizona D'Backs,Los Angeles Dodgers
5/20/2021,Houston Astros,Oakland Athletics
5/20/2021,Miami Marlins,Philadelphia Phillies
5/20/2021,New York Yankees,Texas Rangers
5/20/2021,Boston Red Sox,Toronto Blue Jays
5/21/2021,Oakland Athletics,Los Angeles Angels
5/21/2021,Pittsburgh Pirates,Atlanta Braves
5/21/2021,Milwaukee Brewers,Cincinnati Reds
5/21/2021,Minnesota Twins,Cleveland Indians
5/21/2021,Arizona D'Backs,Colorado Rockies
5/21/2021,Detroit Tigers,Kansas City Royals
5/21/2021,New York Mets,Miami Marlins
5/21/2021,Chicago White Sox,New York Yankees
5/21/2021,Boston Red Sox,Philadelphia Phillies
5/21/2021,Seattle Mariners,San Diego Padres
5/21/2021,Los Angeles Dodgers,San Francisco Giants
5/21/2021,Chicago Cubs,St. Louis Cardinals
5/21/2021,Houston Astros,Texas Rangers
5/21/2021,Tampa Bay Rays,Toronto Blue Jays
5/21/2021,Baltimore Orioles,Washington Nationals
5/22/2021,Oakland Athletics,Los Angeles Angels
5/22/2021,Pittsburgh Pirates,Atlanta Braves
5/22/2021,Milwaukee Brewers,Cincinnati Reds
5/22/2021,Minnesota Twins,Cleveland Indians
5/22/2021,Arizona D'Backs,Colorado Rockies
5/22/2021,Detroit Tigers,Kansas City Royals
5/22/2021,New York Mets,Miami Marlins
5/22/2021,Chicago White Sox,New York Yankees
5/22/2021,Boston Red Sox,Philadelphia Phillies
5/22/2021,Seattle Mariners,San Diego Padres
5/22/2021,Los Angeles Dodgers,San Francisco Giants
5/22/2021,Chicago Cubs,St. Louis Cardinals
5/22/2021,Houston Astros,Texas Rangers
5/22/2021,Tampa Bay Rays,Toronto Blue Jays
5/22/2021,Baltimore Orioles,Washington Nationals
5/23/2021,Oakland Athletics,Los Angeles Angels
5/23/2021,Pittsburgh Pirates,Atlanta Braves
5/23/2021,Milwaukee Brewers,Cincinnati Reds
5/23/2021,Minnesota Twins,Cleveland Indians
5/23/2021,Arizona D'Backs,Colorado Rockies
5/23/2021,Detroit Tigers,Kansas City Royals
5/23/2021,New York Mets,Miami Marlins
5/23/2021,Chicago White Sox,New York Yankees
5/23/2021,Boston Red Sox,Philadelphia Phillies
5/23/2021,Seattle Mariners,San Diego Padres
5/23/2021,Los Angeles Dodgers,San Francisco Giants
5/23/2021,Chicago Cubs,St. Louis Cardinals
5/23/2021,Houston Astros,Texas Rangers
5/23/2021,Tampa Bay Rays,Toronto Blue Jays
5/23/2021,Baltimore Orioles,Washington Nationals
5/24/2021,St. Louis Cardinals,Chicago White Sox
5/24/2021,Cleveland Indians,Detroit Tigers
5/24/2021,Philadelphia Phillies,Miami Marlins
5/24/2021,San Diego Padres,Milwaukee Brewers
5/24/2021,Baltimore Orioles,Minnesota Twins
5/24/2021,Colorado Rockies,New York Mets
5/24/2021,Seattle Mariners,Oakland Athletics
5/24/2021,Tampa Bay Rays,Toronto Blue Jays
5/25/2021,Texas Rangers,Los Angeles Angels
5/25/2021,San Francisco Giants,Arizona D'Backs
5/25/2021,Atlanta Braves,Boston Red Sox
5/25/2021,St. Louis Cardinals,Chicago White Sox
5/25/2021,Cleveland Indians,Detroit Tigers
5/25/2021,Los Angeles Dodgers,Houston Astros
5/25/2021,Philadelphia Phillies,Miami Marlins
5/25/2021,San Diego Padres,Milwaukee Brewers
5/25/2021,Baltimore Orioles,Minnesota Twins
5/25/2021,Toronto Blue Jays,New York Yankees
5/25/2021,Colorado Rockies,New York Mets
5/25/2021,Seattle Mariners,Oakland Athletics
5/25/2021,Chicago Cubs,Pittsburgh Pirates
5/25/2021,Kansas City Royals,Tampa Bay Rays
5/25/2021,Cincinnati Reds,Washington Nationals
5/26/2021,Texas Rangers,Los Angeles Angels
5/26/2021,San Francisco Giants,Arizona D'Backs
5/26/2021,Atlanta Braves,Boston Red Sox
5/26/2021,St. Louis Cardinals,Chicago White Sox
5/26/2021,Cleveland Indians,Detroit Tigers
5/26/2021,Los Angeles Dodgers,Houston Astros
5/26/2021,Philadelphia Phillies,Miami Marlins
5/26/2021,San Diego Padres,Milwaukee Brewers
5/26/2021,Baltimore Orioles,Minnesota Twins
5/26/2021,Seattle Mariners,Oakland Athletics
5/26/2021,Chicago Cubs,Pittsburgh Pirates
5/26/2021,Kansas City Royals,Tampa Bay Rays
5/26/2021,Cincinnati Reds,Washington Nationals
5/27/2021,St. Louis Cardinals,Arizona D'Backs
5/27/2021,Baltimore Orioles,Chicago White Sox
5/27/2021,Cleveland Indians,Detroit Tigers
5/27/2021,San Francisco Giants,Los Angeles Dodgers
5/27/2021,Philadelphia Phillies,Miami Marlins
5/27/2021,San Diego Padres,Milwaukee Brewers
5/27/2021,Toronto Blue Jays,New York Yankees
5/27/2021,Toronto Blue Jays,New York Yankees
5/27/2021,Colorado Rockies,New York Mets
5/27/2021,Colorado Rockies,New York Mets
5/27/2021,Los Angeles Angels,Oakland Athletics
5/27/2021,Chicago Cubs,Pittsburgh Pirates
5/27/2021,Texas Rangers,Seattle Mariners
5/27/2021,Kansas City Royals,Tampa Bay Rays
5/27/2021,Cincinnati Reds,Washington Nationals
5/28/2021,St. Louis Cardinals,Arizona D'Backs
5/28/2021,Miami Marlins,Boston Red Sox
5/28/2021,Cincinnati Reds,Chicago Cubs
5/28/2021,Toronto Blue Jays,Cleveland Indians
5/28/2021,New York Yankees,Detroit Tigers
5/28/2021,San Diego Padres,Houston Astros
5/28/2021,San Francisco Giants,Los Angeles Dodgers
5/28/2021,Kansas City Royals,Minnesota Twins
5/28/2021,Los Angeles Angels,Oakland Athletics
5/28/2021,Texas Rangers,Seattle Mariners
5/29/2021,St. Louis Cardinals,Arizona D'Backs
5/29/2021,Miami Marlins,Boston Red Sox
5/29/2021,Baltimore Orioles,Chicago White Sox
5/29/2021,Baltimore Orioles,Chicago White Sox
5/29/2021,Cincinnati Reds,Chicago Cubs
5/29/2021,New York Yankees,Detroit Tigers
5/29/2021,San Diego Padres,Houston Astros
5/29/2021,San Francisco Giants,Los Angeles Dodgers
5/29/2021,Kansas City Royals,Minnesota Twins
5/29/2021,Atlanta Braves,New York Mets
5/29/2021,Los Angeles Angels,Oakland Athletics
5/29/2021,Colorado Rockies,Pittsburgh Pirates
5/29/2021,Colorado Rockies,Pittsburgh Pirates
5/29/2021,Texas Rangers,Seattle Mariners
5/29/2021,Philadelphia Phillies,Tampa Bay Rays
5/29/2021,Milwaukee Brewers,Washington Nationals
5/29/2021,Milwaukee Brewers,Washington Nationals
5/30/2021,St. Louis Cardinals,Arizona D'Backs
5/30/2021,Baltimore Orioles,Chicago White Sox
5/30/2021,Cincinnati Reds,Chicago Cubs
5/30/2021,Toronto Blue Jays,Cleveland Indians
5/30/2021,Toronto Blue Jays,Cleveland Indians
5/30/2021,New York Yankees,Detroit Tigers
5/30/2021,San Diego Padres,Houston Astros
5/30/2021,San Francisco Giants,Los Angeles Dodgers
5/30/2021,Kansas City Royals,Minnesota Twins
5/30/2021,Los Angeles Angels,Oakland Athletics
5/30/2021,Colorado Rockies,Pittsburgh Pirates
5/30/2021,Texas Rangers,Seattle Mariners
5/30/2021,Philadelphia Phillies,Tampa Bay Rays
5/30/2021,Milwaukee Brewers,Washington Nationals
5/31/2021,New York Mets,Arizona D'Backs
5/31/2021,Washington Nationals,Atlanta Braves
5/31/2021,Minnesota Twins,Baltimore Orioles
5/31/2021,San Diego Padres,Chicago Cubs
5/31/2021,Philadelphia Phillies,Cincinnati Reds
5/31/2021,Chicago White Sox,Cleveland Indians
5/31/2021,Chicago White Sox,Cleveland Indians
5/31/2021,Boston Red Sox,Houston Astros
5/31/2021,Pittsburgh Pirates,Kansas City Royals
5/31/2021,St. Louis Cardinals,Los Angeles Dodgers
5/31/2021,Detroit Tigers,Milwaukee Brewers
5/31/2021,Tampa Bay Rays,New York Yankees
5/31/2021,Oakland Athletics,Seattle Mariners
5/31/2021,Los Angeles Angels,San Francisco Giants
6/1/2021,New York Mets,Arizona D'Backs
6/1/2021,Washington Nationals,Atlanta Braves
6/1/2021,Minnesota Twins,Baltimore Orioles
6/1/2021,San Diego Padres,Chicago Cubs
6/1/2021,Philadelphia Phillies,Cincinnati Reds
6/1/2021,Chicago White Sox,Cleveland Indians
6/1/2021,Texas Rangers,Colorado Rockies
6/1/2021,Boston Red Sox,Houston Astros
6/1/2021,Pittsburgh Pirates,Kansas City Royals
6/1/2021,St. Louis Cardinals,Los Angeles Dodgers
6/1/2021,Detroit Tigers,Milwaukee Brewers
6/1/2021,Tampa Bay Rays,New York Yankees
6/1/2021,Oakland Athletics,Seattle Mariners
6/1/2021,Los Angeles Angels,San Francisco Giants
6/1/2021,Miami Marlins,Toronto Blue Jays
6/2/2021,New York Mets,Arizona D'Backs
6/2/2021,Washington Nationals,Atlanta Braves
6/2/2021,Minnesota Twins,Baltimore Orioles
6/2/2021,San Diego Padres,Chicago Cubs
6/2/2021,Texas Rangers,Colorado Rockies
6/2/2021,Boston Red Sox,Houston Astros
6/2/2021,St. Louis Cardinals,Los Angeles Dodgers
6/2/2021,Tampa Bay Rays,New York Yankees
6/2/2021,Oakland Athletics,Seattle Mariners
6/2/2021,Miami Marlins,Toronto Blue Jays
6/3/2021,Seattle Mariners,Los Angeles Angels
6/3/2021,Washington Nationals,Atlanta Braves
6/3/2021,Detroit Tigers,Chicago White Sox
6/3/2021,Texas Rangers,Colorado Rockies
6/3/2021,Boston Red Sox,Houston Astros
6/3/2021,Minnesota Twins,Kansas City Royals
6/3/2021,Arizona D'Backs,Milwaukee Brewers
6/3/2021,Tampa Bay Rays,New York Yankees
6/3/2021,Miami Marlins,Pittsburgh Pirates
6/3/2021,New York Mets,San Diego Padres
6/3/2021,Chicago Cubs,San Francisco Giants
6/3/2021,Cincinnati Reds,St. Louis Cardinals
6/4/2021,Seattle Mariners,Los Angeles Angels
6/4/2021,Los Angeles Dodgers,Atlanta Braves
6/4/2021,Cleveland Indians,Baltimore Orioles
6/4/2021,Detroit Tigers,Chicago White Sox
6/4/2021,Oakland Athletics,Colorado Rockies
6/4/2021,Minnesota Twins,Kansas City Royals
6/4/2021,Arizona D'Backs,Milwaukee Brewers
6/4/2021,Boston Red Sox,New York Yankees
6/4/2021,Washington Nationals,Philadelphia Phillies
6/4/2021,Miami Marlins,Pittsburgh Pirates
6/4/2021,New York Mets,San Diego Padres
6/4/2021,Chicago Cubs,San Francisco Giants
6/4/2021,Cincinnati Reds,St. Louis Cardinals
6/4/2021,Tampa Bay Rays,Texas Rangers
6/4/2021,Houston Astros,Toronto Blue Jays
6/5/2021,Seattle Mariners,Los Angeles Angels
6/5/2021,Los Angeles Dodgers,Atlanta Braves
6/5/2021,Cleveland Indians,Baltimore Orioles
6/5/2021,Detroit Tigers,Chicago White Sox
6/5/2021,Oakland Athletics,Colorado Rockies
6/5/2021,Minnesota Twins,Kansas City Royals
6/5/2021,Arizona D'Backs,Milwaukee Brewers
6/5/2021,Boston Red Sox,New York Yankees
6/5/2021,Washington Nationals,Philadelphia Phillies
6/5/2021,Miami Marlins,Pittsburgh Pirates
6/5/2021,New York Mets,San Diego Padres
6/5/2021,Chicago Cubs,San Francisco Giants
6/5/2021,Cincinnati Reds,St. Louis Cardinals
6/5/2021,Tampa Bay Rays,Texas Rangers
6/5/2021,Houston Astros,Toronto Blue Jays
6/6/2021,Seattle Mariners,Los Angeles Angels
6/6/2021,Los Angeles Dodgers,Atlanta Braves
6/6/2021,Cleveland Indians,Baltimore Orioles
6/6/2021,Detroit Tigers,Chicago White Sox
6/6/2021,Oakland Athletics,Colorado Rockies
6/6/2021,Minnesota Twins,Kansas City Royals
6/6/2021,Arizona D'Backs,Milwaukee Brewers
6/6/2021,Boston Red Sox,New York Yankees
6/6/2021,Washington Nationals,Philadelphia Phillies
6/6/2021,Miami Marlins,Pittsburgh Pirates
6/6/2021,New York Mets,San Diego Padres
6/6/2021,Chicago Cubs,San Francisco Giants
6/6/2021,Cincinnati Reds,St. Louis Cardinals
6/6/2021,Tampa Bay Rays,Texas Rangers
6/6/2021,Houston Astros,Toronto Blue Jays
6/7/2021,Kansas City Royals,Los Angeles Angels
6/7/2021,Miami Marlins,Boston Red Sox
6/7/2021,Chicago Cubs,San Diego Padres
6/8/2021,Kansas City Royals,Los Angeles Angels
6/8/2021,New York Mets,Baltimore Orioles
6/8/2021,Houston Astros,Boston Red Sox
6/8/2021,Toronto Blue Jays,Chicago White Sox
6/8/2021,Milwaukee Brewers,Cincinnati Reds
6/8/2021,Seattle Mariners,Detroit Tigers
6/8/2021,Colorado Rockies,Miami Marlins
6/8/2021,New York Yankees,Minnesota Twins
6/8/2021,Arizona D'Backs,Oakland Athletics
6/8/2021,Atlanta Braves,Philadelphia Phillies
6/8/2021,Los Angeles Dodgers,Pittsburgh Pirates
6/8/2021,Chicago Cubs,San Diego Padres
6/8/2021,Cleveland Indians,St. Louis Cardinals
6/8/2021,Washington Nationals,Tampa Bay Rays
6/8/2021,San Francisco Giants,Texas Rangers
6/9/2021,Kansas City Royals,Los Angeles Angels
6/9/2021,New York Mets,Baltimore Orioles
6/9/2021,Houston Astros,Boston Red Sox
6/9/2021,Toronto Blue Jays,Chicago White Sox
6/9/2021,Milwaukee Brewers,Cincinnati Reds
6/9/2021,Seattle Mariners,Detroit Tigers
6/9/2021,Colorado Rockies,Miami Marlins
6/9/2021,New York Yankees,Minnesota Twins
6/9/2021,Arizona D'Backs,Oakland Athletics
6/9/2021,Atlanta Braves,Philadelphia Phillies
6/9/2021,Los Angeles Dodgers,Pittsburgh Pirates
6/9/2021,Chicago Cubs,San Diego Padres
6/9/2021,Cleveland Indians,St. Louis Cardinals
6/9/2021,Washington Nationals,Tampa Bay Rays
6/9/2021,San Francisco Giants,Texas Rangers
6/10/2021,Houston Astros,Boston Red Sox
6/10/2021,Toronto Blue Jays,Chicago White Sox
6/10/2021,Milwaukee Brewers,Cincinnati Reds
6/10/2021,Seattle Mariners,Detroit Tigers
6/10/2021,Colorado Rockies,Miami Marlins
6/10/2021,New York Yankees,Minnesota Twins
6/10/2021,Kansas City Royals,Oakland Athletics
6/10/2021,Atlanta Braves,Philadelphia Phillies
6/10/2021,Los Angeles Dodgers,Pittsburgh Pirates
6/11/2021,Los Angeles Angels,Arizona D'Backs
6/11/2021,Toronto Blue Jays,Boston Red Sox
6/11/2021,St. Louis Cardinals,Chicago Cubs
6/11/2021,Colorado Rockies,Cincinnati Reds
6/11/2021,Seattle Mariners,Cleveland Indians
6/11/2021,Chicago White Sox,Detroit Tigers
6/11/2021,Texas Rangers,Los Angeles Dodgers
6/11/2021,Atlanta Braves,Miami Marlins
6/11/2021,Pittsburgh Pirates,Milwaukee Brewers
6/11/2021,Houston Astros,Minnesota Twins
6/11/2021,San Diego Padres,New York Mets
6/11/2021,Kansas City Royals,Oakland Athletics
6/11/2021,Baltimore Orioles,Tampa Bay Rays
6/11/2021,San Francisco Giants,Washington Nationals
6/12/2021,Los Angeles Angels,Arizona D'Backs
6/12/2021,Toronto Blue Jays,Boston Red Sox
6/12/2021,St. Louis Cardinals,Chicago Cubs
6/12/2021,Colorado Rockies,Cincinnati Reds
6/12/2021,Seattle Mariners,Cleveland Indians
6/12/2021,Chicago White Sox,Detroit Tigers
6/12/2021,Texas Rangers,Los Angeles Dodgers
6/12/2021,Atlanta Braves,Miami Marlins
6/12/2021,Pittsburgh Pirates,Milwaukee Brewers
6/12/2021,Houston Astros,Minnesota Twins
6/12/2021,San Diego Padres,New York Mets
6/12/2021,Kansas City Royals,Oakland Athletics
6/12/2021,New York Yankees,Philadelphia Phillies
6/12/2021,Baltimore Orioles,Tampa Bay Rays
6/12/2021,San Francisco Giants,Washington Nationals
6/12/2021,San Francisco Giants,Washington Nationals
6/13/2021,Los Angeles Angels,Arizona D'Backs
6/13/2021,Toronto Blue Jays,Boston Red Sox
6/13/2021,St. Louis Cardinals,Chicago Cubs
6/13/2021,Colorado Rockies,Cincinnati Reds
6/13/2021,Seattle Mariners,Cleveland Indians
6/13/2021,Chicago White Sox,Detroit Tigers
6/13/2021,Texas Rangers,Los Angeles Dodgers
6/13/2021,Atlanta Braves,Miami Marlins
6/13/2021,Pittsburgh Pirates,Milwaukee Brewers
6/13/2021,Houston Astros,Minnesota Twins
6/13/2021,San Diego Padres,New York Mets
6/13/2021,Kansas City Royals,Oakland Athletics
6/13/2021,New York Yankees,Philadelphia Phillies
6/13/2021,Baltimore Orioles,Tampa Bay Rays
6/13/2021,San Francisco Giants,Washington Nationals
6/14/2021,Toronto Blue Jays,Boston Red Sox
6/14/2021,Tampa Bay Rays,Chicago White Sox
6/14/2021,Baltimore Orioles,Cleveland Indians
6/14/2021,San Diego Padres,Colorado Rockies
6/14/2021,Detroit Tigers,Kansas City Royals
6/14/2021,Philadelphia Phillies,Los Angeles Dodgers
6/14/2021,Cincinnati Reds,Milwaukee Brewers
6/14/2021,Chicago Cubs,New York Mets
6/14/2021,Los Angeles Angels,Oakland Athletics
6/14/2021,Minnesota Twins,Seattle Mariners
6/14/2021,Arizona D'Backs,San Francisco Giants
6/14/2021,Miami Marlins,St. Louis Cardinals
6/14/2021,Pittsburgh Pirates,Washington Nationals
6/15/2021,Boston Red Sox,Atlanta Braves
6/15/2021,Tampa Bay Rays,Chicago White Sox
6/15/2021,Baltimore Orioles,Cleveland Indians
6/15/2021,San Diego Padres,Colorado Rockies
6/15/2021,Texas Rangers,Houston Astros
6/15/2021,Detroit Tigers,Kansas City Royals
6/15/2021,Philadelphia Phillies,Los Angeles Dodgers
6/15/2021,Cincinnati Reds,Milwaukee Brewers
6/15/2021,Chicago Cubs,New York Mets
6/15/2021,Los Angeles Angels,Oakland Athletics
6/15/2021,Minnesota Twins,Seattle Mariners
6/15/2021,Arizona D'Backs,San Francisco Giants
6/15/2021,Miami Marlins,St. Louis Cardinals
6/15/2021,New York Yankees,Toronto Blue Jays
6/15/2021,Pittsburgh Pirates,Washington Nationals
6/16/2021,Boston Red Sox,Atlanta Braves
6/16/2021,Tampa Bay Rays,Chicago White Sox
6/16/2021,Baltimore Orioles,Cleveland Indians
